,QUD,context,item,number,quantifier,response,slide_number,trial_type,language,enjoyment,age,gender,education,comments,describe,school,classes,college,lived,years,family,level,Browser,OS,screenH,screenW,time_in_minutes,participant_id,assess
0,none,with,dinosaurios,four,every,0.33,3,one_slider,,-1,,,-1,GREG0,,,,,,,,,Safari,Mac,900,1440,0.10328333333333334,1,
0,none,without,dinosaurios,four,numeral,0.93,3,one_slider,Español,1,22,Male,3,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Linux,760,360,2.3897333333333335,2,Yes
0,none,without,dinosaurios,four,numeral,0.97,3,one_slider,Español,1,28,Male,3,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,864,1536,2.8003,3,Yes
0,none,with,leones,two,numeral,0.08,3,one_slider,Español,2,24,Female,4,"Interesante, he hecho experimentos parecidos y me gustan.",SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.3075,4,Yes
0,none,with,ranas,two,every,0.89,3,one_slider,Español,1,30,Male,3,,SpanSpan,none,no,nocollege,both8,mostlive,spaneng,native,Chrome,Linux,640,360,3.237416666666667,5,Yes
0,none,with,dinosaurios,four,every,0.0,3,one_slider,Español,1,28,Male,3,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,864,1536,1.4029,6,Yes
0,none,without,leones,four,numeral,0.99,3,one_slider,Español,2,20,Male,2,,SpanSpan,none,noclasses,nocollege,over8,mostlive,span,native,Chrome,Linux,771,360,2.9795166666666666,7,Yes
0,none,with,ranas,two,numeral,1.0,3,one_slider,Español,0,26,Male,3,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,2560,1.48635,8,Confused
0,none,without,mariposas,four,numeral,0.98,3,one_slider,Español,2,30,Female,4,,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,640,360,2.7610333333333332,9,Yes
0,none,without,leones,two,every,0.48,3,one_slider,Español,1,48,Female,4,"Las preguntas del elefante y el tiburón son algo confusas, pero supongo que así debe ser",SpanSpan,none,no,nocollege,both8,mostlive,span,native,Firefox,Windows,1080,1920,3.15805,10,Yes
0,none,with,ranas,two,every,1.0,3,one_slider,Español,1,56,Male,3,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1024,1280,3.819183333333333,11,Yes
0,none,without,ranas,two,every,0.95,3,one_slider,Español,2,60,Female,4,Muy interesante el Test....,SpanSpan,most,noclasses,nocollege,both8,,span,native,Chrome,Windows,768,1366,4.978916666666667,12,Yes
0,none,without,leones,two,every,0.52,3,one_slider,Español,2,25,Male,4,,SpanSpan,none,no,nocollege,both8,mostlive,span,,Safari,iPhone/iPod,667,375,3.4339166666666667,13,Yes
0,none,without,mariposas,four,every,1.0,3,one_slider,Español,1,23,Male,1,,SpanEng,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.64345,14,Yes
0,none,with,dinosaurios,two,every,0.0,3,one_slider,español,1,53,Male,3,encuesta interesante,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,4.90155,15,Yes
0,none,without,dinosaurios,two,numeral,0.0,3,one_slider,Español,2,20,Female,2,Es bastante claro en cuanto a la tarea.,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,2.592233333333333,16,Yes
0,none,with,dinosaurios,two,every,0.0,3,one_slider,,-1,,,-1,,,,,,,,,,Chrome,Windows,1080,1920,1.0907666666666667,17,
0,none,with,mariposas,two,every,1.0,3,one_slider,español,1,21,Male,2,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,1.7581,18,Yes
0,none,with,leones,two,numeral,0.0,3,one_slider,Español,1,18,Female,0,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Windows,900,1600,3.4183333333333334,19,Yes
0,none,with,ranas,two,numeral,0.47,3,one_slider,Español,1,26,Female,4,"There are some errors in the story, still was able to understand it. As a native Spanish speaker is easy to try and find the real meaning behind those words, but some of the drafting errors made it difficult to understand 100%. ",SpanSpan,none,noclasses,nocollege,both8,mostlive,spaneng,native,Chrome,Linux,851,393,6.263866666666667,20,Confused
0,none,with,dinosaurios,four,numeral,0.17,3,one_slider,español,1,32,Male,3,,SpanSpan,most,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,3.5631,21,Yes
0,none,without,leones,four,every,1.0,3,one_slider,espanol,0,42,Male,3,"Entiendo que es parte del experimento, pero las afirmaciones son muy convolucionadas.",SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,768,1366,3.578666666666667,22,Yes
0,none,without,leones,two,numeral,0.93,3,one_slider,Español,2,39,Male,3,Ha sido interesante.,SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,3.5483166666666666,23,Yes
0,none,with,mariposas,four,numeral,0.71,3,one_slider,Español,1,18,Male,3,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,1050,1680,2.74785,24,
0,none,without,dinosaurios,two,every,0.0,3,one_slider,Español,2,22,Male,3,Suerte con los resultados.,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,2.7175666666666665,25,Yes
0,none,with,ranas,two,numeral,0.0,3,one_slider,Español,1,24,Female,3,,SpanSpan,most,yes,onesem,both8,mostlive,span,native,Chrome,Windows,768,1366,2.8339,26,Yes
0,none,without,ranas,four,numeral,0.83,3,one_slider,Español,2,33,Male,3,"Ilustrativo el ejemplo con tiburón y elefante, me gustó",SpanSpan,most,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,786,393,3.48135,27,Yes
0,none,without,mariposas,two,numeral,0.0,3,one_slider,Español,2,29,Male,4,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,900,1600,2.5934333333333335,28,Yes
0,none,without,leones,two,numeral,0.33,3,one_slider,,2,,,-1,,,most,yes,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,10.538183333333333,29,
0,none,with,dinosaurios,four,every,0.09,3,one_slider,Español,1,21 años,Male,1,,SpanSpan,none,yes,nocollege,both8,mostlive,span,native,Chrome,Linux,760,360,3.730166666666667,30,Yes
0,none,with,ranas,two,every,0.98,3,one_slider,Español,2,28,Male,4,,SpanSpan,none,no,nocollege,both8,mostlive,span,native,Chrome,Windows,768,1366,1.9351,31,No
0,none,without,mariposas,four,numeral,0.97,3,one_slider,Español,1,39,Male,4,,SpanSpan,most,yes,nocollege,under8,mostlive,span,native,Firefox,Windows,768,1366,2.3734166666666665,32,Yes
0,none,without,mariposas,two,numeral,0.78,3,one_slider,español,1,26,,3,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Mac,900,1440,2.884516666666667,33,
