,QUD,context,item,number,quantifier,response,slide_number,trial_type,language,enjoyment,age,gender,education,comments,describe,school,classes,college,lived,years,family,level,Browser,OS,screenH,screenW,time_in_minutes,participant_id,assess
0,all,without,mariposas,four,every,0.6,3,one_slider,,-1,12,Female,-1,GREG0,L2,,,,,,span,,Safari,Mac,1440,2560,0.20218333333333333,1,
0,none,with,dinosaurios,two,every,0.76,3,one_slider,,-1,,,-1,GREG1,,,,,,,,,Safari,Mac,1440,2560,0.2288,2,
0,all,with,dinosaurios,two,numeral,0.0,3,one_slider,,2,,,-1,Ha sido gracioso,,most,yes,mostsem,both8,mostlive,span,native,Chrome,Windows,768,1366,1.4703166666666667,3,
0,all,without,dinosaurios,four,numeral,0.5,3,one_slider,Español ,1,24,Male,4,Nada ,SpanSpan,most,yes,mostsem,both8,mostlive,span,native,Safari,iPhone/iPod,812,375,2.3714833333333334,4,Confused
0,all,with,leones,two,every,0.89,3,one_slider,Español ,1,21,Female,3,,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Safari,iPhone/iPod,812,375,3.029183333333333,5,Yes
0,none,without,ranas,four,every,1.0,3,one_slider,Española,1,38,Male,4,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Windows,1080,1920,2.8158666666666665,6,Yes
0,none,with,dinosaurios,four,numeral,0.92,3,one_slider,Español,-1,27,Female,3,Buen estudio,,,,,,,,,Chrome,Linux,640,360,4.059683333333333,7,Yes
0,none,without,mariposas,two,every,0.94,3,one_slider,Español,2,33,Male,3,,SpanSpan,none,no,nocollege,both8,mostlive,spaneng,native,Chrome,Linux,640,360,3.2784666666666666,8,Yes
0,none,without,ranas,four,numeral,0.51,3,one_slider,Español,2,45,Female,2,"Justificando mi respuesta, no podemos asegurar que las ranas saltaran o no sobre la roca",SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Firefox,Windows,1080,1920,4.3425666666666665,9,Yes
0,none,with,dinosaurios,four,numeral,0.95,3,one_slider,Español,1,24,Female,4,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Safari,Mac,1112,834,4.370016666666666,10,Yes
0,none,with,leones,four,numeral,0.84,3,one_slider,Español,2,33,Female,1,,SpanSpan,none,noclasses,nocollege,both8,mostlive,span,native,Chrome,Linux,640,360,2.7966,11,Yes
0,none,with,ranas,two,every,0.97,3,one_slider,Español,2,33,Male,3,No me queda claro para qué es el estudio. ,SpanSpan,most,no,nocollege,both8,mostlive,span,native,Chrome,Linux,780,360,3.495233333333333,12,Yes
